company,year,month,period,sentiment_score,revenue_growth,esg_score,employee_rating,market_share,media_mentions,customer_satisfaction,reputation_score,event_note,date,text,market_noise,category,clean_text,kmeans_cluster,hierarchical_cluster
HCL_HIGH,2014,Apr,2014-04,0.0,0.0775,63.29,3.73,18.03,327,3.94,0.8043100000000001,,2014-04-01,TCS performance in April 2014 with reputation score 0.6187 showing moderate (HCL_HIGH),-0.073,General,tcs performance april 2014 reputation score 06187 showing moderate hclhigh,0,1
TCS,2014,Apr,2014-04,0.0,0.0775,63.29,3.73,18.03,327,3.94,0.6187,,2014-04-01,TCS performance in April 2014 with reputation score 0.6187 showing moderate,-0.073,General,tcs performance april 2014 reputation score 06187 showing moderate,0,1
HCL_HIGH,2014,May,2014-05,0.0,0.0777,64.28,4.02,18.0,335,3.98,0.8216,,2014-05-01,TCS performance in May 2014 with reputation score 0.632 showing moderate (HCL_HIGH),0.015,General,tcs performance 2014 reputation score 0632 showing moderate hclhigh,0,1
Infosys,2014,May,2014-05,0.0,0.0777,64.28,4.02,18.0,335,3.98,0.632,,2014-05-01,TCS performance in May 2014 with reputation score 0.632 showing moderate,0.015,General,tcs performance 2014 reputation score 0632 showing moderate,0,1
INFOSYS_LOW,2014,May,2014-05,0.0,0.0777,64.28,4.02,18.0,335,3.98,0.4423999999999999,,2014-05-01,TCS performance in May 2014 with reputation score 0.632 showing moderate (INFOSYS_LOW),0.015,General,tcs performance 2014 reputation score 0632 showing moderate infosyslow,0,1
WIPRO_MED,2014,May,2014-05,0.0,0.0777,64.28,4.02,18.0,335,3.98,0.632,,2014-05-01,TCS performance in May 2014 with reputation score 0.632 showing moderate (WIPRO_MED),0.015,General,tcs performance 2014 reputation score 0632 showing moderate wipromed,0,1
TCS,2014,May,2014-05,0.0,0.0777,64.28,4.02,18.0,335,3.98,0.632,,2014-05-01,TCS performance in May 2014 with reputation score 0.632 showing moderate,0.015,General,tcs performance 2014 reputation score 0632 showing moderate,0,1
INFOSYS_LOW,2014,Jun,2014-06,0.0,0.0857,62.65,3.64,18.06,479,3.92,0.43554,,2014-06-01,TCS performance in June 2014 with reputation score 0.6222 showing volatile (INFOSYS_LOW),0.013,General,tcs performance june 2014 reputation score 06222 showing volatile infosyslow,1,0
HCL_HIGH,2014,Jun,2014-06,0.0,0.0857,62.65,3.64,18.06,479,3.92,0.80886,,2014-06-01,TCS performance in June 2014 with reputation score 0.6222 showing volatile (HCL_HIGH),0.013,General,tcs performance june 2014 reputation score 06222 showing volatile hclhigh,1,0
Infosys,2014,Jun,2014-06,0.0,0.0857,62.65,3.64,18.06,479,3.92,0.6222,,2014-06-01,TCS performance in June 2014 with reputation score 0.6222 showing volatile,0.013,General,tcs performance june 2014 reputation score 06222 showing volatile,1,0
TCS,2014,Jun,2014-06,0.0,0.0857,62.65,3.64,18.06,479,3.92,0.6222,,2014-06-01,TCS performance in June 2014 with reputation score 0.6222 showing volatile,0.013,General,tcs performance june 2014 reputation score 06222 showing volatile,1,0
WIPRO_MED,2014,Jun,2014-06,0.0,0.0857,62.65,3.64,18.06,479,3.92,0.6222,,2014-06-01,TCS performance in June 2014 with reputation score 0.6222 showing volatile (WIPRO_MED),0.013,General,tcs performance june 2014 reputation score 06222 showing volatile wipromed,1,0
Infosys,2014,Jul,2014-07,0.5106,0.0836,63.23,3.71,17.86,504,3.93,0.632,,2014-07-01,TCS performance in July 2014 with reputation score 0.632 showing strong,0.0,General,tcs performance july 2014 reputation score 0632 showing strong,1,0
WIPRO_MED,2014,Jul,2014-07,0.5106,0.0836,63.23,3.71,17.86,504,3.93,0.632,,2014-07-01,TCS performance in July 2014 with reputation score 0.632 showing strong (WIPRO_MED),0.0,General,tcs performance july 2014 reputation score 0632 showing strong wipromed,1,0
TCS,2014,Jul,2014-07,0.5106,0.0836,63.23,3.71,17.86,504,3.93,0.632,,2014-07-01,TCS performance in July 2014 with reputation score 0.632 showing strong,0.0,General,tcs performance july 2014 reputation score 0632 showing strong,1,0
HCL_HIGH,2014,Jul,2014-07,0.5106,0.0836,63.23,3.71,17.86,504,3.93,0.8216,,2014-07-01,TCS performance in July 2014 with reputation score 0.632 showing strong (HCL_HIGH),0.0,General,tcs performance july 2014 reputation score 0632 showing strong hclhigh,1,0
INFOSYS_LOW,2014,Jul,2014-07,0.5106,0.0836,63.23,3.71,17.86,504,3.93,0.4423999999999999,,2014-07-01,TCS performance in July 2014 with reputation score 0.632 showing strong (INFOSYS_LOW),0.0,General,tcs performance july 2014 reputation score 0632 showing strong infosyslow,1,0
INFOSYS_LOW,2014,Aug,2014-08,0.0,0.0856,64.54,3.72,18.18,502,3.99,0.43953,,2014-08-01,TCS performance in August 2014 with reputation score 0.6279 showing moderate (INFOSYS_LOW),-0.012,General,tcs performance august 2014 reputation score 06279 showing moderate infosyslow,0,1
WIPRO_MED,2014,Aug,2014-08,0.0,0.0856,64.54,3.72,18.18,502,3.99,0.6279,,2014-08-01,TCS performance in August 2014 with reputation score 0.6279 showing moderate (WIPRO_MED),-0.012,General,tcs performance august 2014 reputation score 06279 showing moderate wipromed,0,1
Infosys,2014,Aug,2014-08,0.0,0.0856,64.54,3.72,18.18,502,3.99,0.6279,,2014-08-01,TCS performance in August 2014 with reputation score 0.6279 showing moderate,-0.012,General,tcs performance august 2014 reputation score 06279 showing moderate,0,1
HCL_HIGH,2014,Aug,2014-08,0.0,0.0856,64.54,3.72,18.18,502,3.99,0.81627,,2014-08-01,TCS performance in August 2014 with reputation score 0.6279 showing moderate (HCL_HIGH),-0.012,General,tcs performance august 2014 reputation score 06279 showing moderate hclhigh,0,1
TCS,2014,Aug,2014-08,0.0,0.0856,64.54,3.72,18.18,502,3.99,0.6279,,2014-08-01,TCS performance in August 2014 with reputation score 0.6279 showing moderate,-0.012,General,tcs performance august 2014 reputation score 06279 showing moderate,0,1
Infosys,2014,Sep,2014-09,-0.296,0.0845,65.4,3.92,17.86,405,3.79,0.6359,,2014-09-01,TCS performance in September 2014 with reputation score 0.6359 showing uncertain,-0.071,General,tcs performance september 2014 reputation score 06359 showing uncertain,2,3
INFOSYS_LOW,2014,Sep,2014-09,-0.296,0.0845,65.4,3.92,17.86,405,3.79,0.4451299999999999,,2014-09-01,TCS performance in September 2014 with reputation score 0.6359 showing uncertain (INFOSYS_LOW),-0.071,General,tcs performance september 2014 reputation score 06359 showing uncertain infosyslow,2,3
WIPRO_MED,2014,Sep,2014-09,-0.296,0.0845,65.4,3.92,17.86,405,3.79,0.6359,,2014-09-01,TCS performance in September 2014 with reputation score 0.6359 showing uncertain (WIPRO_MED),-0.071,General,tcs performance september 2014 reputation score 06359 showing uncertain wipromed,2,3
HCL_HIGH,2014,Sep,2014-09,-0.296,0.0845,65.4,3.92,17.86,405,3.79,0.82667,,2014-09-01,TCS performance in September 2014 with reputation score 0.6359 showing uncertain (HCL_HIGH),-0.071,General,tcs performance september 2014 reputation score 06359 showing uncertain hclhigh,2,3
TCS,2014,Sep,2014-09,-0.296,0.0845,65.4,3.92,17.86,405,3.79,0.6359,,2014-09-01,TCS performance in September 2014 with reputation score 0.6359 showing uncertain,-0.071,General,tcs performance september 2014 reputation score 06359 showing uncertain,2,3
INFOSYS_LOW,2014,Oct,2014-10,0.0,0.0875,66.63,3.79,18.3,448,3.84,0.44156,,2014-10-01,TCS performance in October 2014 with reputation score 0.6308 showing moderate (INFOSYS_LOW),-0.021,General,tcs performance october 2014 reputation score 06308 showing moderate infosyslow,0,1
TCS,2014,Oct,2014-10,0.0,0.0875,66.63,3.79,18.3,448,3.84,0.6308,,2014-10-01,TCS performance in October 2014 with reputation score 0.6308 showing moderate,-0.021,General,tcs performance october 2014 reputation score 06308 showing moderate,0,1
WIPRO_MED,2014,Oct,2014-10,0.0,0.0875,66.63,3.79,18.3,448,3.84,0.6308,,2014-10-01,TCS performance in October 2014 with reputation score 0.6308 showing moderate (WIPRO_MED),-0.021,General,tcs performance october 2014 reputation score 06308 showing moderate wipromed,0,1
HCL_HIGH,2014,Oct,2014-10,0.0,0.0875,66.63,3.79,18.3,448,3.84,0.8200400000000001,,2014-10-01,TCS performance in October 2014 with reputation score 0.6308 showing moderate (HCL_HIGH),-0.021,General,tcs performance october 2014 reputation score 06308 showing moderate hclhigh,0,1
Infosys,2014,Oct,2014-10,0.0,0.0875,66.63,3.79,18.3,448,3.84,0.6308,,2014-10-01,TCS performance in October 2014 with reputation score 0.6308 showing moderate,-0.021,General,tcs performance october 2014 reputation score 06308 showing moderate,0,1
INFOSYS_LOW,2014,Nov,2014-11,0.0,0.0903,64.96,3.99,17.21,485,3.91,0.44926,,2014-11-01,TCS performance in November 2014 with reputation score 0.6418 showing moderate (INFOSYS_LOW),-0.017,General,tcs performance november 2014 reputation score 06418 showing moderate infosyslow,0,1
HCL_HIGH,2014,Nov,2014-11,0.0,0.0903,64.96,3.99,17.21,485,3.91,0.8343400000000001,,2014-11-01,TCS performance in November 2014 with reputation score 0.6418 showing moderate (HCL_HIGH),-0.017,General,tcs performance november 2014 reputation score 06418 showing moderate hclhigh,0,1
Infosys,2014,Nov,2014-11,0.0,0.0903,64.96,3.99,17.21,485,3.91,0.6418,,2014-11-01,TCS performance in November 2014 with reputation score 0.6418 showing moderate,-0.017,General,tcs performance november 2014 reputation score 06418 showing moderate,0,1
TCS,2014,Nov,2014-11,0.0,0.0903,64.96,3.99,17.21,485,3.91,0.6418,,2014-11-01,TCS performance in November 2014 with reputation score 0.6418 showing moderate,-0.017,General,tcs performance november 2014 reputation score 06418 showing moderate,0,1
WIPRO_MED,2014,Nov,2014-11,0.0,0.0903,64.96,3.99,17.21,485,3.91,0.6418,,2014-11-01,TCS performance in November 2014 with reputation score 0.6418 showing moderate (WIPRO_MED),-0.017,General,tcs performance november 2014 reputation score 06418 showing moderate wipromed,0,1
Infosys,2014,Dec,2014-12,0.5106,0.0837,62.61,3.77,18.11,538,3.85,0.6264,,2014-12-01,TCS performance in December 2014 with reputation score 0.6264 showing strong,-0.04,General,tcs performance december 2014 reputation score 06264 showing strong,1,0
TCS,2014,Dec,2014-12,0.5106,0.0837,62.61,3.77,18.11,538,3.85,0.6264,,2014-12-01,TCS performance in December 2014 with reputation score 0.6264 showing strong,-0.04,General,tcs performance december 2014 reputation score 06264 showing strong,1,0
WIPRO_MED,2014,Dec,2014-12,0.5106,0.0837,62.61,3.77,18.11,538,3.85,0.6264,,2014-12-01,TCS performance in December 2014 with reputation score 0.6264 showing strong (WIPRO_MED),-0.04,General,tcs performance december 2014 reputation score 06264 showing strong wipromed,1,0
INFOSYS_LOW,2014,Dec,2014-12,0.5106,0.0837,62.61,3.77,18.11,538,3.85,0.4384799999999999,,2014-12-01,TCS performance in December 2014 with reputation score 0.6264 showing strong (INFOSYS_LOW),-0.04,General,tcs performance december 2014 reputation score 06264 showing strong infosyslow,1,0
HCL_HIGH,2014,Dec,2014-12,0.5106,0.0837,62.61,3.77,18.11,538,3.85,0.8143199999999999,,2014-12-01,TCS performance in December 2014 with reputation score 0.6264 showing strong (HCL_HIGH),-0.04,General,tcs performance december 2014 reputation score 06264 showing strong hclhigh,1,0
INFOSYS_LOW,2015,Jan,2015-01,0.296,0.086,68.1,3.94,18.34,461,4.01,0.45493,,2015-01-01,TCS performance in January 2015 with reputation score 0.6499 showing stable (INFOSYS_LOW),-0.008,General,tcs performance january 2015 reputation score 06499 showing stable infosyslow,3,2
WIPRO_MED,2015,Jan,2015-01,0.296,0.086,68.1,3.94,18.34,461,4.01,0.6499,,2015-01-01,TCS performance in January 2015 with reputation score 0.6499 showing stable (WIPRO_MED),-0.008,General,tcs performance january 2015 reputation score 06499 showing stable wipromed,3,2
HCL_HIGH,2015,Jan,2015-01,0.296,0.086,68.1,3.94,18.34,461,4.01,0.8448700000000001,,2015-01-01,TCS performance in January 2015 with reputation score 0.6499 showing stable (HCL_HIGH),-0.008,General,tcs performance january 2015 reputation score 06499 showing stable hclhigh,3,2
Infosys,2015,Jan,2015-01,0.296,0.086,68.1,3.94,18.34,461,4.01,0.6499,,2015-01-01,TCS performance in January 2015 with reputation score 0.6499 showing stable,-0.008,General,tcs performance january 2015 reputation score 06499 showing stable,3,2
TCS,2015,Jan,2015-01,0.296,0.086,68.1,3.94,18.34,461,4.01,0.6499,,2015-01-01,TCS performance in January 2015 with reputation score 0.6499 showing stable,-0.008,General,tcs performance january 2015 reputation score 06499 showing stable,3,2
Infosys,2015,Feb,2015-02,0.0,0.0824,66.61,3.85,18.06,443,4.03,0.6469,,2015-02-01,TCS performance in February 2015 with reputation score 0.6469 showing moderate,0.02,General,tcs performance february 2015 reputation score 06469 showing moderate,0,1
HCL_HIGH,2015,Feb,2015-02,0.0,0.0824,66.61,3.85,18.06,443,4.03,0.8409700000000001,,2015-02-01,TCS performance in February 2015 with reputation score 0.6469 showing moderate (HCL_HIGH),0.02,General,tcs performance february 2015 reputation score 06469 showing moderate hclhigh,0,1
TCS,2015,Feb,2015-02,0.0,0.0824,66.61,3.85,18.06,443,4.03,0.6469,,2015-02-01,TCS performance in February 2015 with reputation score 0.6469 showing moderate,0.02,General,tcs performance february 2015 reputation score 06469 showing moderate,0,1
WIPRO_MED,2015,Feb,2015-02,0.0,0.0824,66.61,3.85,18.06,443,4.03,0.6469,,2015-02-01,TCS performance in February 2015 with reputation score 0.6469 showing moderate (WIPRO_MED),0.02,General,tcs performance february 2015 reputation score 06469 showing moderate wipromed,0,1
INFOSYS_LOW,2015,Feb,2015-02,0.0,0.0824,66.61,3.85,18.06,443,4.03,0.45283,,2015-02-01,TCS performance in February 2015 with reputation score 0.6469 showing moderate (INFOSYS_LOW),0.02,General,tcs performance february 2015 reputation score 06469 showing moderate infosyslow,0,1
WIPRO_MED,2015,Mar,2015-03,0.0,0.0961,65.3,3.85,18.4,355,3.98,0.6584,,2015-03-01,TCS performance in March 2015 with reputation score 0.6584 showing volatile (WIPRO_MED),0.094,General,tcs performance march 2015 reputation score 06584 showing volatile wipromed,1,0
INFOSYS_LOW,2015,Mar,2015-03,0.0,0.0961,65.3,3.85,18.4,355,3.98,0.4608799999999999,,2015-03-01,TCS performance in March 2015 with reputation score 0.6584 showing volatile (INFOSYS_LOW),0.094,General,tcs performance march 2015 reputation score 06584 showing volatile infosyslow,1,0
Infosys,2015,Mar,2015-03,0.0,0.0961,65.3,3.85,18.4,355,3.98,0.6584,,2015-03-01,TCS performance in March 2015 with reputation score 0.6584 showing volatile,0.094,General,tcs performance march 2015 reputation score 06584 showing volatile,1,0
HCL_HIGH,2015,Mar,2015-03,0.0,0.0961,65.3,3.85,18.4,355,3.98,0.85592,,2015-03-01,TCS performance in March 2015 with reputation score 0.6584 showing volatile (HCL_HIGH),0.094,General,tcs performance march 2015 reputation score 06584 showing volatile hclhigh,1,0
TCS,2015,Mar,2015-03,0.0,0.0961,65.3,3.85,18.4,355,3.98,0.6584,,2015-03-01,TCS performance in March 2015 with reputation score 0.6584 showing volatile,0.094,General,tcs performance march 2015 reputation score 06584 showing volatile,1,0
HCL_HIGH,2015,Apr,2015-04,0.296,0.1021,67.21,3.93,18.48,266,4.0,0.86164,,2015-04-01,TCS performance in April 2015 with reputation score 0.6628 showing stable (HCL_HIGH),0.009,General,tcs performance april 2015 reputation score 06628 showing stable hclhigh,3,2
Infosys,2015,Apr,2015-04,0.296,0.1021,67.21,3.93,18.48,266,4.0,0.6628,,2015-04-01,TCS performance in April 2015 with reputation score 0.6628 showing stable,0.009,General,tcs performance april 2015 reputation score 06628 showing stable,3,2
WIPRO_MED,2015,Apr,2015-04,0.296,0.1021,67.21,3.93,18.48,266,4.0,0.6628,,2015-04-01,TCS performance in April 2015 with reputation score 0.6628 showing stable (WIPRO_MED),0.009,General,tcs performance april 2015 reputation score 06628 showing stable wipromed,3,2
INFOSYS_LOW,2015,Apr,2015-04,0.296,0.1021,67.21,3.93,18.48,266,4.0,0.4639599999999999,,2015-04-01,TCS performance in April 2015 with reputation score 0.6628 showing stable (INFOSYS_LOW),0.009,General,tcs performance april 2015 reputation score 06628 showing stable infosyslow,3,2
TCS,2015,Apr,2015-04,0.296,0.1021,67.21,3.93,18.48,266,4.0,0.6628,,2015-04-01,TCS performance in April 2015 with reputation score 0.6628 showing stable,0.009,General,tcs performance april 2015 reputation score 06628 showing stable,3,2
WIPRO_MED,2015,May,2015-05,-0.296,0.1097,66.77,3.94,18.49,326,4.11,0.6731,,2015-05-01,TCS performance in May 2015 with reputation score 0.6731 showing uncertain (WIPRO_MED),0.013,General,tcs performance 2015 reputation score 06731 showing uncertain wipromed,1,0
HCL_HIGH,2015,May,2015-05,-0.296,0.1097,66.77,3.94,18.49,326,4.11,0.8750300000000001,,2015-05-01,TCS performance in May 2015 with reputation score 0.6731 showing uncertain (HCL_HIGH),0.013,General,tcs performance 2015 reputation score 06731 showing uncertain hclhigh,1,0
Infosys,2015,May,2015-05,-0.296,0.1097,66.77,3.94,18.49,326,4.11,0.6731,,2015-05-01,TCS performance in May 2015 with reputation score 0.6731 showing uncertain,0.013,General,tcs performance 2015 reputation score 06731 showing uncertain,1,0
INFOSYS_LOW,2015,May,2015-05,-0.296,0.1097,66.77,3.94,18.49,326,4.11,0.47117,,2015-05-01,TCS performance in May 2015 with reputation score 0.6731 showing uncertain (INFOSYS_LOW),0.013,General,tcs performance 2015 reputation score 06731 showing uncertain infosyslow,1,0
TCS,2015,May,2015-05,-0.296,0.1097,66.77,3.94,18.49,326,4.11,0.6731,,2015-05-01,TCS performance in May 2015 with reputation score 0.6731 showing uncertain,0.013,General,tcs performance 2015 reputation score 06731 showing uncertain,1,0
HCL_HIGH,2015,Jun,2015-06,0.5106,0.1003,65.91,4.07,18.08,466,4.22,0.8802300000000001,,2015-06-01,TCS performance in June 2015 with reputation score 0.6771 showing strong (HCL_HIGH),-0.004,General,tcs performance june 2015 reputation score 06771 showing strong hclhigh,1,0
WIPRO_MED,2015,Jun,2015-06,0.5106,0.1003,65.91,4.07,18.08,466,4.22,0.6771,,2015-06-01,TCS performance in June 2015 with reputation score 0.6771 showing strong (WIPRO_MED),-0.004,General,tcs performance june 2015 reputation score 06771 showing strong wipromed,1,0
INFOSYS_LOW,2015,Jun,2015-06,0.5106,0.1003,65.91,4.07,18.08,466,4.22,0.47397,,2015-06-01,TCS performance in June 2015 with reputation score 0.6771 showing strong (INFOSYS_LOW),-0.004,General,tcs performance june 2015 reputation score 06771 showing strong infosyslow,1,0
Infosys,2015,Jun,2015-06,0.5106,0.1003,65.91,4.07,18.08,466,4.22,0.6771,,2015-06-01,TCS performance in June 2015 with reputation score 0.6771 showing strong,-0.004,General,tcs performance june 2015 reputation score 06771 showing strong,1,0
TCS,2015,Jun,2015-06,0.5106,0.1003,65.91,4.07,18.08,466,4.22,0.6771,,2015-06-01,TCS performance in June 2015 with reputation score 0.6771 showing strong,-0.004,General,tcs performance june 2015 reputation score 06771 showing strong,1,0
INFOSYS_LOW,2015,Jul,2015-07,-0.296,0.0915,67.12,3.84,18.03,425,3.89,0.45563,,2015-07-01,TCS performance in July 2015 with reputation score 0.6509 showing uncertain (INFOSYS_LOW),-0.096,General,tcs performance july 2015 reputation score 06509 showing uncertain infosyslow,1,0
HCL_HIGH,2015,Jul,2015-07,-0.296,0.0915,67.12,3.84,18.03,425,3.89,0.8461700000000001,,2015-07-01,TCS performance in July 2015 with reputation score 0.6509 showing uncertain (HCL_HIGH),-0.096,General,tcs performance july 2015 reputation score 06509 showing uncertain hclhigh,1,0
Infosys,2015,Jul,2015-07,-0.296,0.0915,67.12,3.84,18.03,425,3.89,0.6509,,2015-07-01,TCS performance in July 2015 with reputation score 0.6509 showing uncertain,-0.096,General,tcs performance july 2015 reputation score 06509 showing uncertain,1,0
WIPRO_MED,2015,Jul,2015-07,-0.296,0.0915,67.12,3.84,18.03,425,3.89,0.6509,,2015-07-01,TCS performance in July 2015 with reputation score 0.6509 showing uncertain (WIPRO_MED),-0.096,General,tcs performance july 2015 reputation score 06509 showing uncertain wipromed,1,0
TCS,2015,Jul,2015-07,-0.296,0.0915,67.12,3.84,18.03,425,3.89,0.6509,,2015-07-01,TCS performance in July 2015 with reputation score 0.6509 showing uncertain,-0.096,General,tcs performance july 2015 reputation score 06509 showing uncertain,1,0
WIPRO_MED,2015,Aug,2015-08,0.296,0.0856,68.86,3.81,18.4,485,3.88,0.652,,2015-08-01,TCS performance in August 2015 with reputation score 0.652 showing stable (WIPRO_MED),-0.001,General,tcs performance august 2015 reputation score 0652 showing stable wipromed,3,2
TCS,2015,Aug,2015-08,0.296,0.0856,68.86,3.81,18.4,485,3.88,0.652,,2015-08-01,TCS performance in August 2015 with reputation score 0.652 showing stable,-0.001,General,tcs performance august 2015 reputation score 0652 showing stable,3,2
HCL_HIGH,2015,Aug,2015-08,0.296,0.0856,68.86,3.81,18.4,485,3.88,0.8476,,2015-08-01,TCS performance in August 2015 with reputation score 0.652 showing stable (HCL_HIGH),-0.001,General,tcs performance august 2015 reputation score 0652 showing stable hclhigh,3,2
Infosys,2015,Aug,2015-08,0.296,0.0856,68.86,3.81,18.4,485,3.88,0.652,,2015-08-01,TCS performance in August 2015 with reputation score 0.652 showing stable,-0.001,General,tcs performance august 2015 reputation score 0652 showing stable,3,2
INFOSYS_LOW,2015,Aug,2015-08,0.296,0.0856,68.86,3.81,18.4,485,3.88,0.4564,,2015-08-01,TCS performance in August 2015 with reputation score 0.652 showing stable (INFOSYS_LOW),-0.001,General,tcs performance august 2015 reputation score 0652 showing stable infosyslow,3,2
Infosys,2015,Sep,2015-09,0.296,0.1075,65.07,3.92,18.58,482,3.88,0.6672,,2015-09-01,TCS performance in September 2015 with reputation score 0.6672 showing stable,0.003,General,tcs performance september 2015 reputation score 06672 showing stable,3,2
TCS,2015,Sep,2015-09,0.296,0.1075,65.07,3.92,18.58,482,3.88,0.6672,,2015-09-01,TCS performance in September 2015 with reputation score 0.6672 showing stable,0.003,General,tcs performance september 2015 reputation score 06672 showing stable,3,2
WIPRO_MED,2015,Sep,2015-09,0.296,0.1075,65.07,3.92,18.58,482,3.88,0.6672,,2015-09-01,TCS performance in September 2015 with reputation score 0.6672 showing stable (WIPRO_MED),0.003,General,tcs performance september 2015 reputation score 06672 showing stable wipromed,3,2
INFOSYS_LOW,2015,Sep,2015-09,0.296,0.1075,65.07,3.92,18.58,482,3.88,0.4670399999999999,,2015-09-01,TCS performance in September 2015 with reputation score 0.6672 showing stable (INFOSYS_LOW),0.003,General,tcs performance september 2015 reputation score 06672 showing stable infosyslow,3,2
HCL_HIGH,2015,Sep,2015-09,0.296,0.1075,65.07,3.92,18.58,482,3.88,0.86736,,2015-09-01,TCS performance in September 2015 with reputation score 0.6672 showing stable (HCL_HIGH),0.003,General,tcs performance september 2015 reputation score 06672 showing stable hclhigh,3,2
